Pays,Clics,Impressions,CTR,Position
France,1067,9931,10.74%,3.61
Italie,1,9,11.11%,3.78
Royaume-Uni,1,3,33.33%,6.33
Inde,1,3,33.33%,7.67
Nouvelle-Calédonie,1,1,100%,1
États-Unis,0,39,0%,11.46
Belgique,0,22,0%,4.14
Pays-Bas,0,14,0%,4
Allemagne,0,5,0%,6.6
Brésil,0,3,0%,11
Espagne,0,3,0%,14
Luxembourg,0,2,0%,2
Norvège,0,2,0%,6.5
Japon,0,2,0%,8
Roumanie,0,2,0%,9.5
Corée du Sud,0,2,0%,14.5
Émirats Arabes Unis,0,2,0%,29.5
Argentine,0,1,0%,2
Suède,0,1,0%,2
Thaïlande,0,1,0%,7
Tunisie,0,1,0%,7
Irlande,0,1,0%,8
Suisse,0,1,0%,9
Malte,0,1,0%,11
Algérie,0,1,0%,18
Russie,0,1,0%,18
Vietnam,0,1,0%,21
République Dominicaine,0,1,0%,22
Mozambique,0,1,0%,22
Chine,0,1,0%,23
Venezuela,0,1,0%,33